iter	Passed	Remaining
0	15	14136
1	30	13575
2	43	12830
3	58	12955
4	72	12815
5	88	13066
6	103	13055
7	118	12997
8	133	13047
9	147	12963
10	162	12973
11	178	13024
12	192	12982
13	207	12964
14	222	12954
15	236	12884
16	250	12836
17	263	12766
18	278	12757
19	292	12689
20	306	12649
21	319	12573
22	333	12573
23	350	12629
24	366	12665
25	381	12658
26	398	12721
27	413	12720
28	429	12726
29	444	12739
30	460	12736
31	474	12718
32	489	12691
33	502	12627
34	517	12615
35	530	12560
36	544	12527
37	559	12540
38	575	12536
39	589	12512
40	604	12499
41	617	12454
42	631	12422
43	646	12410
44	660	12395
45	676	12388
46	688	12339
47	702	12313
48	714	12249
49	730	12255
50	745	12245
51	761	12250
52	776	12246
53	791	12236
54	808	12263
55	823	12252
56	838	12235
57	852	12214
58	866	12185
59	880	12162
60	894	12142
61	909	12131
62	924	12123
63	939	12110
64	957	12141
65	972	12120
66	985	12087
67	1000	12075
68	1015	12066
69	1032	12080
70	1046	12062
71	1061	12043
72	1074	12013
73	1089	11997
74	1104	11991
75	1120	11984
76	1136	11980
77	1150	11967
78	1166	11959
79	1181	11947
80	1196	11937
81	1211	11926
82	1227	11915
83	1242	11906
84	1256	11883
85	1270	11866
86	1285	11847
87	1302	11854
88	1319	11861
89	1335	11858
90	1352	11864
91	1369	11867
92	1386	11867
93	1410	11929
94	1431	11963
95	1450	11985
96	1469	11999
97	1489	12020
98	1508	12033
99	1524	12030
100	1547	12077
101	1564	12074
102	1582	12078
103	1598	12065
104	1613	12048
105	1630	12040
106	1645	12025
107	1660	12006
108	1676	11996
109	1691	11979
110	1706	11962
111	1720	11938
112	1736	11923
113	1752	11912
114	1766	11888
115	1782	11877
116	1797	11860
117	1812	11843
118	1827	11823
119	1841	11802
120	1856	11786
121	1872	11774
122	1888	11760
123	1903	11745
124	1918	11727
125	1935	11717
126	1949	11697
127	1964	11682
128	1979	11661
129	1994	11645
130	2008	11621
131	2023	11604
132	2036	11576
133	2050	11550
134	2064	11531
135	2079	11514
136	2094	11499
137	2109	11480
138	2123	11455
139	2138	11438
140	2154	11431
141	2170	11415
142	2185	11399
143	2200	11384
144	2216	11374
145	2233	11367
146	2249	11354
147	2263	11332
148	2278	11316
149	2293	11301
150	2308	11284
151	2323	11264
152	2337	11245
153	2352	11228
154	2367	11210
155	2382	11193
156	2397	11179
157	2412	11161
158	2426	11141
159	2439	11114
160	2453	11092
161	2469	11080
162	2484	11066
163	2500	11052
164	2515	11036
165	2531	11023
166	2545	11006
167	2560	10989
168	2575	10972
169	2590	10954
170	2605	10938
171	2620	10924
172	2637	10915
173	2652	10898
174	2667	10883
175	2682	10866
176	2698	10853
177	2711	10829
178	2726	10815
179	2741	10797
180	2755	10776
181	2768	10755
182	2783	10739
183	2798	10721
184	2811	10698
185	2826	10681
186	2841	10665
187	2854	10642
188	2869	10627
189	2884	10612
190	2900	10598
191	2916	10585
192	2930	10566
193	2945	10553
194	2961	10540
195	2976	10523
196	2989	10502
197	3005	10489
198	3021	10476
199	3038	10466
200	3053	10452
201	3068	10435
202	3083	10420
203	3098	10405
204	3113	10388
205	3127	10369
206	3142	10353
207	3155	10331
208	3171	10318
209	3185	10299
210	3198	10278
211	3212	10260
212	3227	10244
213	3242	10228
214	3258	10213
215	3274	10200
216	3289	10187
217	3304	10170
218	3319	10156
219	3334	10138
220	3348	10121
221	3362	10104
222	3383	10104
223	3408	10118
224	3432	10130
225	3453	10129
226	3470	10120
227	3488	10113
228	3505	10102
229	3523	10094
230	3538	10080
231	3554	10065
232	3570	10052
233	3586	10038
234	3599	10018
235	3614	10000
236	3629	9986
237	3645	9970
238	3660	9954
239	3675	9939
240	3689	9919
241	3705	9906
242	3720	9890
243	3734	9870
244	3749	9855
245	3762	9834
246	3776	9816
247	3789	9795
248	3804	9778
249	3817	9758
250	3834	9747
251	3849	9730
252	3863	9712
253	3876	9690
254	3889	9669
255	3903	9652
256	3917	9632
257	3930	9613
258	3945	9597
259	3960	9580
260	3975	9565
261	3991	9551
262	4005	9533
263	4018	9512
264	4031	9493
265	4045	9474
266	4060	9458
267	4075	9442
268	4090	9427
269	4105	9411
270	4119	9394
271	4132	9373
